WORD,CATEGORY,WEIGHT
do,TIGHT,0.8917032582207386
stop,TIGHT,0.5861348662912113
argue,TIGHT,0.43894120421139327
ignore,TIGHT,0.3534260942852267
refuse,TIGHT,0.29575042409200175
annoy,TIGHT,0.29194349940700287
irritate,TIGHT,0.1979338837561123
tolerate,TIGHT,0.16349988264462825
loosen,TIGHT,0.1516601194949159
remove,TIGHT,0.15087156866665252
conform,TIGHT,0.15058826588329544
criticize,TIGHT,0.14910522074168467
exempt,TIGHT,0.14891958430616622
confront,TIGHT,0.14585329340346295
cater,TIGHT,0.14299192490459067
betray,TIGHT,0.13956214465839092
intimidate,TIGHT,0.13856345164447206
restricted,TIGHT,0.13305217178362563
tempt,TIGHT,0.13286330215493689
harass,TIGHT,0.12508436562375239
hinder,TIGHT,0.12408343821035754
assure,TIGHT,0.12228637918008828
complicate,TIGHT,0.11322094323108398
shun,TIGHT,0.11118797158615071
discourage,TIGHT,0.11062914842558227
offend,TIGHT,0.10396286505333152
withdraw,TIGHT,0.10312539595381383
discriminate,TIGHT,0.10101074567962612
punish,TIGHT,0.100985260629923
condone,TIGHT,0.10069372665782378
protect,TIGHT,0.10001887416884966
create,LOOSE,0.6886607066274535
develop,LOOSE,0.4773333573990713
rescue,LOOSE,0.4586979520872834
freedom,LOOSE,0.4483532649942823
explore,LOOSE,0.4260355476954604
improve,LOOSE,0.3924551615655807
promote,LOOSE,0.38616455390876425
select,LOOSE,0.37543693765924047
encourage,LOOSE,0.37451981316329086
empowering,LOOSE,0.36670017496621615
expand,LOOSE,0.363364606651812
empower,LOOSE,0.35979650763239734
maximize,LOOSE,0.3430961274560046
democratic,LOOSE,0.3404448577911229
optimize,LOOSE,0.33841318231344314
allow,LOOSE,0.32827439326254537
integrate,LOOSE,0.3213223241604494
embrace,LOOSE,0.31721926609259343
enhance,LOOSE,0.3041550781958879
inspire,LOOSE,0.3029550860297556
extend,LOOSE,0.2991706104325034
transform,LOOSE,0.2976982976754357
diverse,LOOSE,0.2960292065977509
engage,LOOSE,0.27818085998578773
incorporate,LOOSE,0.2538080115672511
implement,LOOSE,0.2375782224753752
unite,LOOSE,0.23594546708265035
enable,LOOSE,0.22311395959396854
leverage,LOOSE,0.22083801804141345
flexibility,LOOSE,0.21162379603334636
preserve,LOOSE,0.20053268390848838
collaborate,LOOSE,0.1931967213020042
simplify,LOOSE,0.19271539177119754
evolve,LOOSE,0.19262284840448232
utilize,LOOSE,0.189483962738724
adopt,LOOSE,0.16909450567134726
exploit,LOOSE,0.1665962776389665
foster,LOOSE,0.1654633773488897
customize,LOOSE,0.13900511090533543
alter,LOOSE,0.1340509836475666
nurture,LOOSE,0.1325719097022824
limitless,LOOSE,0.13143267743413628
adapt,LOOSE,0.1303364851594084
regulate,LOOSE,0.12176039904393363
define,LOOSE,0.11579700236814375
strengthen,LOOSE,0.10827995707697154
