WORD,CATEGORY,WEIGHT
humans,INDIVIDUALISM,1
humanity,INDIVIDUALISM,1
worldwide,INDIVIDUALISM,1
universal,INDIVIDUALISM,1
mankind,INDIVIDUALISM,1
everyone,INDIVIDUALISM,1
collective,INDIVIDUALISM,1
global,INDIVIDUALISM,1
equity,INDIVIDUALISM,1
imagination,INDIVIDUALISM,1
cooperate,INDIVIDUALISM,1
cooperation,INDIVIDUALISM,1
shared,INDIVIDUALISM,1
joint,INDIVIDUALISM,1
identity,INDIVIDUALISM,1
guilt,INDIVIDUALISM,1
diversity,INDIVIDUALISM,1
humankind,INDIVIDUALISM,0.6544663
human,INDIVIDUALISM,0.5777024
societal,INDIVIDUALISM,0.5680487
interdependence,INDIVIDUALISM,0.54777795
oneness,INDIVIDUALISM,0.54757243
universality,INDIVIDUALISM,0.5473495
mutual,INDIVIDUALISM,0.5369236
solidarity,INDIVIDUALISM,0.5344857
unity,INDIVIDUALISM,0.53390807
interconnectedness,INDIVIDUALISM,0.5313452
communal,INDIVIDUALISM,0.5233885
mutuality,INDIVIDUALISM,0.51913184
human-kind,INDIVIDUALISM,0.509768
inclusiveness,INDIVIDUALISM,0.50695723
world,INDIVIDUALISM,0.50398487
connectedness,INDIVIDUALISM,0.50297743
commonality,INDIVIDUALISM,0.5028265
society,INDIVIDUALISM,0.50250703
empathy,INDIVIDUALISM,0.50221914
interconnectivity,INDIVIDUALISM,0.50123155
individuality,INDIVIDUALISM,0.49732527
peoples,INDIVIDUALISM,0.496316
togetherness,INDIVIDUALISM,0.49461055
interdependency,INDIVIDUALISM,0.49189636
individualism,INDIVIDUALISM,0.49070495
collectivity,INDIVIDUALISM,0.49036852
ecological,INDIVIDUALISM,0.4890028
equality,INDIVIDUALISM,0.48643863
transnational,INDIVIDUALISM,0.48537794
social,INDIVIDUALISM,0.48536736
whole-world,INDIVIDUALISM,0.4838851
societies,INDIVIDUALISM,0.4832144
inclusivity,INDIVIDUALISM,0.48291254
individual,INDIVIDUALISM,0.48234397
transcendence,INDIVIDUALISM,0.48034793
interrelatedness,INDIVIDUALISM,0.48005837
nations,INDIVIDUALISM,0.47891372
solidary,INDIVIDUALISM,0.47889376
communality,INDIVIDUALISM,0.47780812
cultural,INDIVIDUALISM,0.4777836
creativity,INDIVIDUALISM,0.47745562
man-kind,INDIVIDUALISM,0.47693667
nonkilling,INDIVIDUALISM,0.47638935
belief,INDIVIDUALISM,0.47633854
inherent,INDIVIDUALISM,0.47605297
civilizational,INDIVIDUALISM,0.47511396
harmony,INDIVIDUALISM,0.474132
collaboration,INDIVIDUALISM,0.47396252
humanism,INDIVIDUALISM,0.47329774
brotherhood,INDIVIDUALISM,0.47306845
altruism,INDIVIDUALISM,0.47273085
innate,INDIVIDUALISM,0.4719133
collectivism,INDIVIDUALISM,0.47121453
morality,INDIVIDUALISM,0.4704719
